"Region","Country","SiteID","National Name","International Name","Final Code","Area","Latitude","Longitude","Criteria"
"Africa","South Africa ","7147","Kouga - Baviaanskloof Complex ","Kouga - Baviaanskloof Complex","ZA072","172000","-33.6166666667","23.7","A1, A2, A3"
"Africa","South Africa ","7076","Kruger National Park and adjacent areas ","Kruger National Park and adjacent areas","ZA001","2136380","-24.166666666667","31.583333333333","A1, A3, A4i"
"Africa","South Africa ","7128","KwaZulu-Natal Mistbelt Forests ","KwaZulu-Natal Mistbelt Forests","ZA053","11948","-29.933333333333","30.05",""
"Africa","South Africa ","7133","KwaZulu-Natal Mistbelt Grasslands ","KwaZulu-Natal Mistbelt Grasslands","ZA058","5000","-29.2","30.616666666667","A1"
"Africa","South Africa ","7167","Langeberg Mountains ","Langeberg Mountains","ZA092","175000","-33.916666666667","20.733333333333","A1, A2, A3"
"Africa","South Africa ","7093","Magaliesberg ","Magaliesberg","ZA018","367108","-25.75","27.666666666667","A1, A4i, A4ii"
"Africa","South Africa ","7151","Maitland - Gamtoos coast ","Maitland - Gamtoos coast","ZA076","1800","-33.9666666667","25.15","A1, A4i"
"Africa","South Africa ","7123","Maloti Drakensberg Park ","Maloti Drakensberg Park","ZA048","242813","-29.333333333333","29.466666666667","A1, A2, A3, A4i, A4ii"
"Africa","South Africa ","32050","Mapungubwe ","Mapungubwe","","30240","-22.223","29.31","A1"
"Africa","South Africa ","7137","Matatiele Nature Reserve ","Matatiele Nature Reserve","ZA062","5050","-30.333333333333","28.833333333333","A1, A2, A3"
"Africa","South Africa ","7100","Mattheus-Gat Conservation Area ","Mattheus-Gat Conservation Area","ZA025","52000","-29.083333333299997","19.583333333299997","A1, A2, A3"
"Africa","South Africa ","7141","Mkhambati Nature Reserve ","Mkhambati Nature Reserve","ZA066","8000","-31.266666666667","29.983333333333","A1, A2, A3, A4ii"
"Africa","South Africa ","20353","Mount Moreland ","Mount Moreland","ZA102","350","-29.633333333333","31.083333333333","A4ii"
"Africa","South Africa ","7109","Murphy's Rust ","Murphy's Rust","ZA034","58","-28.3","29.383333333299998","A1, A4i"
"Africa","South Africa ","7113","Ndumo Game Reserve ","Ndumo Game Reserve","ZA038","12420","-26.883333333299998","32.2666666667","A1, A2, A3"
"Africa","South Africa ","7124","Ngoye Forest Reserve ","Ngoye Forest Reserve","ZA049","3906","-28.85","31.633333333333","A1, A2, A3"
"Africa","South Africa ","7082","Nyl River Floodplain ","Nyl River Floodplain","ZA007","16000","-24.65","28.7","A1, A4i, A4iii"
"Africa","South Africa ","7153","Olifants river estuary ","Olifants river estuary","ZA078","2000","-31.7","18.2","A3, A4i"
"Africa","South Africa ","7098","Orange River Mouth Wetlands ","Orange River Mouth Wetlands","ZA023","9600","-28.6","16.466666666667","A1, A3, A4i, A4iii"
"Africa","South Africa ","7139","Oribi Gorge Nature Reserve ","Oribi Gorge Nature Reserve","ZA064","1917","-30.716666666699997","30.2333333333","A1, A2, A3"
"Africa","South Africa ","7166","Outeniqua mountains ","Outeniqua mountains","ZA091","180000","-33.8833333333","22.6166666667","A1, A2, A3"
"Africa","South Africa ","7169","Overberg Wheatbelt ","Overberg Wheatbelt","ZA094","300000","-34.416666666667","19.9","A1, A2, A3, A4i"
"Africa","South Africa ","7138","Penny Park ","Penny Park","ZA063","120","-30.5","29.4833333333","A1"
"Africa","South Africa ","7116","Phongolo Nature Reserve ","Phongolo Nature Reserve","ZA041","11971","-27.333333333333","31.966666666667","A1, A2"
"Africa","South Africa ","7092","Pilanesberg National Park ","Pilanesberg National Park","ZA017","50000","-25.25","27.083333333333","A1"
"Africa","South Africa ","7103","Platberg-Karoo Conservancy ","Platberg-Karoo Conservancy","ZA028","1200000","-30.6166666667","24.166666666699996","A1, A3, A4i, A4ii"
"Africa","South Africa ","7080","Polokwane Nature Reserve ","Polokwane Nature Reserve","ZA005","3200","-23.933333333333","29.5","A1"
"Africa","South Africa ","31598","Pondoland Cape Vulture ","Pondoland Cape Vulture","","0","-31.31","29.232","A1"
"Africa","South Africa ","7176","Prince Edward Islands Special Nature Reserve ","Prince Edward Islands Special Nature Reserve","ZA101","33400","-46.7833333333","37.8","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","7165","Rietvlei Wetland: Table Bay Nature Reserve ","Rietvlei Wetland: Table Bay Nature Reserve","ZA090","527","-33.833333333333","18.483333333333","A1, A4i"
"Africa","South Africa ","7164","Robben Island ","Robben Island","ZA089","574","-33.816666666667","18.366666666667","A1, A4i, A4ii, A4iii"
"Africa","South Africa ","7112","Rooiberge-Riemland ","Rooiberge-Riemland","ZA037","40000","-28.533333333333","28.25","A1, A4i"
"Africa","South Africa ","7104","Sandveld and Bloemhof Dam Nature Reserves ","Sandveld and Bloemhof Dam Nature Reserves","ZA029","55372","-27.666666666699996","25.75","A1, A4i"
"Africa","South Africa ","7088","Songimvelo Nature Reserve ","Songimvelo Nature Reserve","ZA013","56000","-25.916666666667","31.033333333333","A1, A2, A3"
"Africa","South Africa ","7077","Soutpansberg ","Soutpansberg","ZA002","260000","-22.95","29.916666666667","A1, A2, A3, A4ii"
